year,team,opponent,opponent_defensive_avg
2021,Fremantle,Port Adelaide,15.736301369863014
2021,Fremantle,Western Bulldogs,15.99835255354201
2021,Fremantle,Gold Coast,16.895555555555557
2021,Fremantle,Collingwood,16.98068669527897
2021,Fremantle,Geelong,14.761092150170649
2021,Fremantle,St Kilda,16.842718446601943
2021,Fremantle,Richmond,16.875717017208412
2021,Geelong,Adelaide,16.09492273730684
2021,Geelong,Brisbane Lions,15.689256198347108
2021,Geelong,Hawthorn,16.583892617449663
2021,Geelong,Melbourne,16.04642166344294
2021,Geelong,North Melbourne,17.138702460850112
2021,Geelong,West Coast,16.92650334075724
2021,Geelong,Sydney,15.64079822616408
2021,Geelong,Richmond,16.875717017208412
2021,Geelong,St Kilda,16.842718446601943
2021,Geelong,Gold Coast,16.895555555555557
2021,Geelong,Collingwood,16.98068669527897
2021,Geelong,Port Adelaide,15.736301369863014
2021,Geelong,Western Bulldogs,15.99835255354201
2021,Geelong,Essendon,16.216101694915253
2021,Geelong,Carlton,16.34004024144869
2021,Geelong,Fremantle,17.07606263982103
2021,Geelong,Greater Western Sydney,16.13013698630137
2021,Gold Coast,North Melbourne,17.138702460850112
2021,Gold Coast,Adelaide,16.09492273730684
2021,Gold Coast,Carlton,16.34004024144869
2021,Gold Coast,Western Bulldogs,15.99835255354201
2021,Gold Coast,Sydney,15.64079822616408
2021,Gold Coast,Collingwood,16.98068669527897
2021,Gold Coast,St Kilda,16.842718446601943
2021,Gold Coast,Brisbane Lions,15.689256198347108
2021,Gold Coast,Richmond,16.875717017208412
2021,Gold Coast,Greater Western Sydney,16.13013698630137
2021,Gold Coast,Melbourne,16.04642166344294
2021,Gold Coast,Essendon,16.216101694915253
2021,Gold Coast,West Coast,16.92650334075724
2021,Gold Coast,Geelong,14.761092150170649
2021,Gold Coast,Hawthorn,16.583892617449663
2021,Gold Coast,Fremantle,17.07606263982103
2021,Gold Coast,Port Adelaide,15.736301369863014
2021,Hawthorn,Essendon,16.216101694915253
2021,Hawthorn,Greater Western Sydney,16.13013698630137
2021,Hawthorn,Port Adelaide,15.736301369863014
2021,Hawthorn,Fremantle,17.07606263982103
2021,Hawthorn,Melbourne,16.04642166344294
2021,Hawthorn,Adelaide,16.09492273730684
2021,Hawthorn,Brisbane Lions,15.689256198347108
2021,Hawthorn,Collingwood,16.98068669527897
2021,Hawthorn,Western Bulldogs,15.99835255354201
2021,Hawthorn,Richmond,16.875717017208412
2021,Hawthorn,Geelong,14.761092150170649
2021,Hawthorn,St Kilda,16.842718446601943
2021,Hawthorn,West Coast,16.92650334075724
2021,Hawthorn,North Melbourne,17.138702460850112
2021,Hawthorn,Carlton,16.34004024144869
2021,Hawthorn,Gold Coast,16.895555555555557
2021,Hawthorn,Sydney,15.64079822616408
2021,Melbourne,North Melbourne,17.138702460850112
2021,Melbourne,Gold Coast,16.895555555555557
2021,Melbourne,West Coast,16.92650334075724
2021,Melbourne,Adelaide,16.09492273730684
2021,Melbourne,Geelong,14.761092150170649
2021,Melbourne,Brisbane Lions,15.689256198347108
2021,Melbourne,Western Bulldogs,15.99835255354201
2021,Melbourne,Fremantle,17.07606263982103
2021,Melbourne,St Kilda,16.842718446601943
2021,Melbourne,Greater Western Sydney,16.13013698630137
2021,Melbourne,Hawthorn,16.583892617449663
2021,Melbourne,Richmond,16.875717017208412
2021,Melbourne,Sydney,15.64079822616408
2021,Melbourne,Carlton,16.34004024144869
2021,Melbourne,Collingwood,16.98068669527897
2021,Melbourne,Essendon,16.216101694915253
2021,Melbourne,Port Adelaide,15.736301369863014
2021,North Melbourne,Gold Coast,16.895555555555557
2021,North Melbourne,Western Bulldogs,15.99835255354201
2021,North Melbourne,Carlton,16.34004024144869
2021,North Melbourne,Geelong,14.761092150170649
2021,North Melbourne,Richmond,16.875717017208412
2021,North Melbourne,Sydney,15.64079822616408
2021,North Melbourne,Adelaide,16.09492273730684
2021,North Melbourne,Port Adelaide,15.736301369863014
2021,North Melbourne,Fremantle,17.07606263982103
2021,North Melbourne,Melbourne,16.04642166344294
2021,North Melbourne,Collingwood,16.98068669527897
2021,North Melbourne,Hawthorn,16.583892617449663
2021,North Melbourne,Essendon,16.216101694915253
2021,North Melbourne,St Kilda,16.842718446601943
2021,North Melbourne,Greater Western Sydney,16.13013698630137
2021,North Melbourne,Brisbane Lions,15.689256198347108
2021,North Melbourne,West Coast,16.92650334075724
2021,Port Adelaide,North Melbourne,17.138702460850112
2021,Port Adelaide,Essendon,16.216101694915253
2021,Port Adelaide,West Coast,16.92650334075724
2021,Port Adelaide,Richmond,16.875717017208412
2021,Port Adelaide,Carlton,16.34004024144869
2021,Port Adelaide,St Kilda,16.842718446601943
2021,Port Adelaide,Brisbane Lions,15.689256198347108
2021,Port Adelaide,Adelaide,16.09492273730684
2021,Port Adelaide,Western Bulldogs,15.99835255354201
2021,Port Adelaide,Collingwood,16.98068669527897
2021,Port Adelaide,Fremantle,17.07606263982103
2021,Port Adelaide,Geelong,14.761092150170649
2021,Port Adelaide,Gold Coast,16.895555555555557
2021,Port Adelaide,Sydney,15.64079822616408
2021,Port Adelaide,Hawthorn,16.583892617449663
2021,Port Adelaide,Melbourne,16.04642166344294
2021,Port Adelaide,Greater Western Sydney,16.13013698630137
2021,Richmond,Carlton,16.34004024144869
2021,Richmond,Hawthorn,16.583892617449663
2021,Richmond,Sydney,15.64079822616408
2021,Richmond,Port Adelaide,15.736301369863014
2021,Richmond,St Kilda,16.842718446601943
2021,Richmond,Melbourne,16.04642166344294
2021,Richmond,Western Bulldogs,15.99835255354201
2021,Richmond,Geelong,14.761092150170649
2021,Richmond,Greater Western Sydney,16.13013698630137
2021,Richmond,Brisbane Lions,15.689256198347108
2021,Richmond,Adelaide,16.09492273730684
2021,Richmond,Essendon,16.216101694915253
2021,Richmond,West Coast,16.92650334075724
2021,Richmond,Gold Coast,16.895555555555557
2021,Richmond,Collingwood,16.98068669527897
2021,Richmond,Fremantle,17.07606263982103
2021,Richmond,North Melbourne,17.138702460850112
2021,St Kilda,Greater Western Sydney,16.13013698630137
2021,St Kilda,Melbourne,16.04642166344294
2021,St Kilda,Essendon,16.216101694915253
2021,St Kilda,West Coast,16.92650334075724
2021,St Kilda,Richmond,16.875717017208412
2021,St Kilda,Port Adelaide,15.736301369863014
2021,St Kilda,Hawthorn,16.583892617449663
2021,St Kilda,Gold Coast,16.895555555555557
2021,St Kilda,Geelong,14.761092150170649
2021,St Kilda,Western Bulldogs,15.99835255354201
2021,St Kilda,North Melbourne,17.138702460850112
2021,St Kilda,Sydney,15.64079822616408
2021,St Kilda,Adelaide,16.09492273730684
2021,St Kilda,Collingwood,16.98068669527897
2021,St Kilda,Brisbane Lions,15.689256198347108
2021,St Kilda,Carlton,16.34004024144869
2021,St Kilda,Fremantle,17.07606263982103
2021,Sydney,St Kilda,16.842718446601943
2021,Sydney,Hawthorn,16.583892617449663
2021,Sydney,Port Adelaide,15.736301369863014
2021,Sydney,West Coast,16.92650334075724
2021,Sydney,Western Bulldogs,15.99835255354201
2021,Sydney,Greater Western Sydney,16.13013698630137
2021,Sydney,Essendon,16.216101694915253
2021,Sydney,Fremantle,17.07606263982103
2021,Sydney,Brisbane Lions,15.689256198347108
2021,Sydney,Adelaide,16.09492273730684
2021,Sydney,Richmond,16.875717017208412
2021,Sydney,Gold Coast,16.895555555555557
2021,Sydney,Collingwood,16.98068669527897
2021,Sydney,North Melbourne,17.138702460850112
2021,Sydney,Carlton,16.34004024144869
2021,Sydney,Geelong,14.761092150170649
2021,Sydney,Melbourne,16.04642166344294
2021,West Coast,Hawthorn,16.583892617449663
2021,West Coast,Adelaide,16.09492273730684
2021,West Coast,Greater Western Sydney,16.13013698630137
2021,West Coast,Essendon,16.216101694915253
2021,West Coast,North Melbourne,17.138702460850112
2021,West Coast,Geelong,14.761092150170649
2021,West Coast,Gold Coast,16.895555555555557
2021,West Coast,Western Bulldogs,15.99835255354201
2021,West Coast,Port Adelaide,15.736301369863014
2021,West Coast,St Kilda,16.842718446601943
2021,West Coast,Collingwood,16.98068669527897
2021,West Coast,Fremantle,17.07606263982103
2021,West Coast,Richmond,16.875717017208412
2021,West Coast,Sydney,15.64079822616408
2021,West Coast,Melbourne,16.04642166344294
2021,West Coast,Brisbane Lions,15.689256198347108
2021,West Coast,Carlton,16.34004024144869
2021,Western Bulldogs,Collingwood,16.98068669527897
2021,Western Bulldogs,West Coast,16.92650334075724
2021,Western Bulldogs,North Melbourne,17.138702460850112
2021,Western Bulldogs,Brisbane Lions,15.689256198347108
2021,Western Bulldogs,Gold Coast,16.895555555555557
2021,Western Bulldogs,Greater Western Sydney,16.13013698630137
2021,Western Bulldogs,Richmond,16.875717017208412
2021,Western Bulldogs,Carlton,16.34004024144869
2021,Western Bulldogs,Port Adelaide,15.736301369863014
2021,Western Bulldogs,St Kilda,16.842718446601943
2021,Western Bulldogs,Melbourne,16.04642166344294
2021,Western Bulldogs,Fremantle,17.07606263982103
2021,Western Bulldogs,Geelong,14.761092150170649
2021,Western Bulldogs,Sydney,15.64079822616408
2021,Western Bulldogs,Adelaide,16.09492273730684
2021,Western Bulldogs,Essendon,16.216101694915253
2021,Western Bulldogs,Hawthorn,16.583892617449663
2022,Adelaide,Richmond,16.16991150442478
2022,Adelaide,Western Bulldogs,15.801626016260162
2022,Adelaide,Greater Western Sydney,16.142250530785564
2022,Adelaide,Carlton,15.348697394789578
2022,Adelaide,Brisbane Lions,15.477093206951027
2022,Adelaide,St Kilda,16.229910714285715
2022,Adelaide,Geelong,16.115027829313544
2022,Adelaide,West Coast,16.339662447257385
2022,Adelaide,Gold Coast,16.35211267605634
2022,Adelaide,North Melbourne,16.25
2022,Adelaide,Melbourne,16.05693950177936
2022,Adelaide,Hawthorn,16.821826280623608
2022,Adelaide,Collingwood,16.876785714285713
2022,Adelaide,Sydney,15.602862254025045
2022,Adelaide,Port Adelaide,15.353965183752418
2022,Adelaide,Fremantle,15.687258687258687
2022,Adelaide,Essendon,16.110849056603772
2022,Carlton,Hawthorn,16.821826280623608
2022,Carlton,Gold Coast,16.35211267605634
2022,Carlton,Fremantle,15.687258687258687
2022,Carlton,Adelaide,16.082039911308204
2022,Carlton,Essendon,16.110849056603772
2022,Carlton,Richmond,16.16991150442478
2022,Carlton,North Melbourne,16.25
2022,Carlton,Greater Western Sydney,16.142250530785564
2022,Carlton,Sydney,15.602862254025045
2022,Carlton,Collingwood,16.876785714285713
2022,Carlton,Port Adelaide,15.353965183752418
2022,Carlton,St Kilda,16.229910714285715
2022,Carlton,West Coast,16.339662447257385
2022,Carlton,Geelong,16.115027829313544
2022,Carlton,Brisbane Lions,15.477093206951027
2022,Carlton,Melbourne,16.05693950177936
2022,Carlton,Western Bulldogs,15.801626016260162
2022,Collingwood,St Kilda,16.229910714285715
2022,Collingwood,Adelaide,16.082039911308204
2022,Collingwood,Geelong,16.115027829313544
2022,Collingwood,Brisbane Lions,15.477093206951027
2022,Collingwood,Essendon,16.110849056603772
2022,Collingwood,Gold Coast,16.35211267605634
2022,Collingwood,Richmond,16.16991150442478
2022,Collingwood,Western Bulldogs,15.801626016260162
2022,Collingwood,Fremantle,15.687258687258687
2022,Collingwood,Carlton,15.348697394789578
2022,Collingwood,Hawthorn,16.821826280623608
2022,Collingwood,Melbourne,16.05693950177936
2022,Collingwood,Greater Western Sydney,16.142250530785564
2022,Collingwood,North Melbourne,16.25
